Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Vacunado;Total
Total;Extremadura;Hombres;No ha sido vacunado;364,9
Total;Extremadura;Mujeres;TOTAL;457,9
Total;Extremadura;Mujeres;Sí ha sido vacunado;101,3
Total;Extremadura;Mujeres;No ha sido vacunado;356,5
Total;Galicia;Ambos sexos;TOTAL;2.360,6
Total;Galicia;Ambos sexos;Sí ha sido vacunado;603,7
Total;Galicia;Ambos sexos;No ha sido vacunado;1.756,9
Total;Galicia;Hombres;TOTAL;1.129,4
Total;Galicia;Hombres;Sí ha sido vacunado;275,3
Total;Galicia;Hombres;No ha sido vacunado;854,0
Total;Galicia;Mujeres;TOTAL;1.231,2
Total;Galicia;Mujeres;Sí ha sido vacunado;328,4
Total;Galicia;Mujeres;No ha sido vacunado;902,8
Total;Madrid (Comunidad de);Ambos sexos;TOTAL;5.649,9
Total;Madrid (Comunidad de);Ambos sexos;Sí ha sido vacunado;1.059,3
Total;Madrid (Comunidad de);Ambos sexos;No ha sido vacunado;4.590,6
Total;Madrid (Comunidad de);Hombres;TOTAL;2.678,4
Total;Madrid (Comunidad de);Hombres;Sí ha sido vacunado;453,3
Total;Madrid (Comunidad de);Hombres;No ha sido vacunado;2.225,1
Total;Madrid (Comunidad de);Mujeres;TOTAL;2.971,5
Total;Madrid (Comunidad de);Mujeres;Sí ha sido vacunado;606,0
Total;Madrid (Comunidad de);Mujeres;No ha sido vacunado;2.365,5
Total;Murcia (Región de);Ambos sexos;TOTAL;1.242,4
Total;Murcia (Región de);Ambos sexos;Sí ha sido vacunado;261,4
Total;Murcia (Región de);Ambos sexos;No ha sido vacunado;981,0
Total;Murcia (Región de);Hombres;TOTAL;617,5
Total;Murcia (Región de);Hombres;Sí ha sido vacunado;108,7
Total;Murcia (Región de);Hombres;No ha sido vacunado;508,8
Total;Murcia (Región de);Mujeres;TOTAL;624,9
Total;Murcia (Región de);Mujeres;Sí ha sido vacunado;152,8
Total;Murcia (Región de);Mujeres;No ha sido vacunado;472,2
Total;Navarra (Comunidad Foral de);Ambos sexos;TOTAL;547,4
Total;Navarra (Comunidad Foral de);Ambos sexos;Sí ha sido vacunado;127,7
Total;Navarra (Comunidad Foral de);Ambos sexos;No ha sido vacunado;419,7
Total;Navarra (Comunidad Foral de);Hombres;TOTAL;269,6
Total;Navarra (Comunidad Foral de);Hombres;Sí ha sido vacunado;53,0
Total;Navarra (Comunidad Foral de);Hombres;No ha sido vacunado;216,7
Total;Navarra (Comunidad Foral de);Mujeres;TOTAL;277,8
Total;Navarra (Comunidad Foral de);Mujeres;Sí ha sido vacunado;74,8
Total;Navarra (Comunidad Foral de);Mujeres;No ha sido vacunado;203,0
Total;País Vasco;Ambos sexos;TOTAL;1.863,3
Total;País Vasco;Ambos sexos;Sí ha sido vacunado;427,6
Total;País Vasco;Ambos sexos;No ha sido vacunado;1.435,7
Total;País Vasco;Hombres;TOTAL;895,0
Total;País Vasco;Hombres;Sí ha sido vacunado;192,7
Total;País Vasco;Hombres;No ha sido vacunado;702,2
Total;País Vasco;Mujeres;TOTAL;968,3
Total;País Vasco;Mujeres;Sí ha sido vacunado;234,8
Total;País Vasco;Mujeres;No ha sido vacunado;733,5
